Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?",Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What country do you work in?,Do you work remotely?,Inferred Tech Role,Why or why not bring up with a potential employer in an interview(mental health issue)_cleaned?,Why or why not bring up with a potential employer in an interview(physical health issue)_cleaned?
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,Not Aware,None did,Some did,"Yes, always",None of them,None of them,Some did,Some of them,Maybe,Maybe,"No, I don't think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No response,No,Yes,Maybe,unknown,Yes,1,Sometimes,Often,29,Male,United Kingdom,United Kingdom,Always,1,again if it affected my direct functioning i probably would im quite reserved anyway and unless it could affect my work directly its not my employers business,depends what it is if its something relevant that affects my physical functioning eg if i was blinded or had no legs or something
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,None did,I don't know,I don't know,None of them,None did,None of them,Maybe,No,Maybe,Maybe,Somewhat not open,Maybe/Not sure,Maybe,I don't know,Yes,Yes,anxiety-disorder | mood-disorder | dissociative-disorder,Yes,1,Rarely,Sometimes,34,Male,Finland,Finland,Sometimes,1,social stigma,fear
0,0,1,Yes,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did",Aware,None did,None did,I don't know,Some of them,Some of them,None did,None of them,Maybe,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No response,Yes,No,No,healthy,No,0,Not applicable to me,Not applicable to me,28,Male,Canada,Canada,Always,1,uncertain about reception  very difficult to determine an interviewers experience and perception of mental illness,i dont have any chronic physical illnesses but my partner does  if i had the same illness as them i would feel that the interviewer would likely discount my ability to work effectively or feel that the necessary accommodations would be too significant
0,1,1,I don't know,Yes,No,I don't know,Very easy,Maybe,No,No,No,Yes,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,No,No,Maybe,"No, they do not",Somewhat not open,No,No response,No,Maybe,No,healthy,No,0,Never,Rarely,22,Female,Russia,Russia,Sometimes,0,health issues either physical or mental do not affect my productivity as a worker while i am in the working state ie not absent due to some illness so why should i discuss them in an interview,health issues do not affect my productivity as a worker while i am in the working state ie not absent due to some illness so why should i discuss them in an interview
0,0,1,Yes,No,Yes,Yes,Neither easy nor difficult,Yes,Maybe,Maybe,Maybe,No,No,1,"Yes, they all did",Aware,Some did,Some did,"Yes, always","Yes, all of them",Some of them,Some did,Some of them,Maybe,No,"Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,mood-disorder | attention-deficit-hyperactivity-disorder,Yes,1,Rarely,Often,28,Female,United States of America,United States of America,Sometimes,1,rather not bring up something that would affect my chances of being hired yes its illegal to discriminate that way but that doesnt mean that doesnt happen yeah,still too much stigma attached to some physical health issues eg female anatomyrelated
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,Some did,None of them,Maybe,Yes,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,anxiety-disorder | mood-disorder | eating-disorder | attention-deficit-hyperactivity-disorder,Yes,1,Sometimes,Often,26,Female,United States of America,United States of America,Always,1,i have several severe mental health issues that would greatly affect my work,if it was something major i would but minor no
0,1,0,Yes,Yes,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,I don't know,Not Aware,Some did,Some did,I don't know,Some of them,Some of them,Some did,Some of them,Maybe,No,"No, I don't think it would",Maybe,Somewhat open,"Yes, I experienced",Maybe,Yes,Maybe,Maybe,unknown,No,1,Not applicable to me,Sometimes,21,Female,Australia,Australia,Never,1,medical screening process would be more appropriate even though some of them only ask for diagnosed mental illnesses,if they had a medical screening process that would be the appropriate time
0,0,1,No,No,No,No,Somewhat easy,Yes,Maybe,Yes,Maybe,No,Yes,1,Some did,Aware,Some did,None did,Sometimes,Some of them,Some of them,Some did,Some of them,Yes,Yes,"Yes, it has",Maybe,Very open,"Yes, I experienced",Maybe,Yes,Yes,Yes,mood-disorder | addictive-disorder,Yes,1,Rarely,Often,38,Male,Netherlands,Netherlands,Never,1,it is what it is if that causes a problem i should not work there,it is what it is if that causes a problem i should not work there
0,1,0,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,Some did,Aware,None did,Some did,I don't know,Some of them,Some of them,None did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,anxiety-disorder | attention-deficit-hyperactivity-disorder,Yes,1,Sometimes,Often,33,Male,United States of America,United States of America,Sometimes,1,i dont think it would help my chances of getting the job and its possible that it could hurt them,depends on the issue and whether it would impact my ability to do the job in question or not
0,1,1,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,1,Some did,Not Aware,Some did,Some did,I don't know,Some of them,Some of them,Some did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,addictive-disorder,No,1,Rarely,Sometimes,28,Female,United States of America,United States of America,Sometimes,1,if it didnt affect my job i would discuss it with my manager after i was hired,if it didnt affect my job i would wait until after i was hired to discuss it with my manager
0,0,1,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,1,"No, none did",Not Aware,None did,None did,No,"Yes, all of them",Some of them,None did,Some of them,No,No,Maybe,Maybe,Somewhat open,"Yes, I observed",No,I don't know,Yes,Yes,mood-disorder | attention-deficit-hyperactivity-disorder | substance-use-disorder,Yes,1,Sometimes,Often,32,Male,United States of America,United States of America,Sometimes,1,i dont think thats a topic that needs to be discussed in an interview,i dont think its an issue that needs to be discussed in an interview
0,0,1,No,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,Some of them,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No response,I don't know,Yes,Yes,anxiety-disorder | mood-disorder | eating-disorder,Yes,1,Sometimes,Often,24,Female,Australia,Australia,Sometimes,1,same reason as physical health  its not their business straight up so maybe in a later interview,maybe a second or third interview but not the first its not their business unless were both serious about working together
0,1,1,I don't know,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,No,No,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,Maybe,No,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,No response,Yes,Yes,Maybe,unknown,Yes,1,Sometimes,Often,35,Male,United States of America,United States of America,Always,0,quick way to not get the job,some parts of tech require you to lift things for example
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Aware,None did,None did,Sometimes,Some of them,None of them,None did,None of them,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,No,No,healthy,No,0,Sometimes,Not applicable to me,41,Male,United States of America,Turkey,Sometimes,0,no response,no response
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,None did,I don't know,"Yes, all of them",Some of them,None did,"Yes, all of them",Yes,Maybe,Maybe,"Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Maybe,Yes,No,No,healthy,No,1,Not applicable to me,Not applicable to me,38,Female,United States of America,United States of America,Always,0,may affect job performance,it may affect job attendance
0,1,1,I don't know,No,I don't know,I don't know,Somewhat difficult,Yes,Yes,Maybe,No,No,No,1,"No, none did",Not Aware,None did,Some did,I don't know,"Yes, all of them","Yes, all of them",I don't know,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,anxiety-disorder | mood-disorder | post-traumatic-stress-disorder,Yes,1,Rarely,Often,24,Female,United States of America,United States of America,Sometimes,1,mental illness is not a protected class from discrimination and disclosing it publicly could affect my immigration status,only after i received a job offer to ensure protection for my physical disability
0,1,1,Yes,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,1,"Yes, they all did",Aware,None did,"Yes, they all did",I don't know,I don't know,None of them,I don't know,None of them,Yes,No,"No, it has not",Maybe,Somewhat open,No,No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Rarely,Often,30,Male,United States of America,United States of America,Sometimes,1,they may not be accepting,most people understand physical health issues whereas with mental health you can never be sure
0,1,1,Yes,I don't know,Yes,Yes,I don't know,Yes,Yes,No,No,I don't know,No,1,"Yes, they all did",Aware,"Yes, they all did","Yes, they all did","Yes, always","Yes, all of them","Yes, all of them",I don't know,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,No,No,No,healthy,No,0,Never,Often,47,Female,United States of America,United States of America,Sometimes,0,discrimination,discrimination
0,1,1,Yes,I don't know,Yes,Yes,Somewhat easy,Maybe,No,No,No,I don't know,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,26,Female,United States of America,United States of America,Never,1,no response,i feel like physical health issues is perceived to be less in control by the person compared to mental health
0,1,1,Yes,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,Yes,No,1,"Yes, they all did",Aware,I don't know,Some did,I don't know,Some of them,Some of them,I don't know,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,No,No response,I don't know,Yes,Yes,anxiety-disorder,Yes,1,Sometimes,Often,32,Male,United States of America,United States of America,Always,1,no response,no response
0,1,1,I don't know,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,I don't know,Yes,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,None of them,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,No,Maybe,unknown,No,0,Sometimes,Sometimes,32,Male,United States of America,United States of America,Sometimes,1,none of their business,none of their business
0,1,1,I don't know,I don't know,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,1,Some did,Aware,Some did,Some did,"Yes, always",Some of them,Some of them,Some did,None of them,No,Yes,"No, it has not","No, they do not",Very open,No,No response,I don't know,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Not applicable to me,Often,37,Male,United States of America,United States of America,Always,0,if its relevant to the conversation im happy to mention that im an anxious depressive and to expand as needed i think its important to raise the topic openly as appropriate it reduces stigma and gives me an indication of the companys attitude towards mental health,ive never had one that would be relevant
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Not Aware,None did,None did,I don't know,Some of them,Some of them,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,33,Male,Netherlands,Netherlands,Sometimes,1,same as above,depends if it would jeopardize my chances of getting the position
0,0,1,No,No,No,I don't know,Somewhat easy,No,No,No,Maybe,Yes,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,None of them,No,No,Maybe,Maybe,Somewhat not open,"Yes, I observed",Maybe,I don't know,Maybe,Maybe,unknown,No,0,Not applicable to me,Not applicable to me,28,Female,United Kingdom,United Kingdom,Sometimes,0,negative connotation,negative connotation
0,0,1,I don't know,Yes,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,Yes,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Yes,No,Maybe,"Yes, I think they would",Somewhat not open,No,No response,No,No,No,healthy,No,1,Not applicable to me,Not applicable to me,22,Male,Netherlands,Netherlands,Never,1,as the solicitant its not my responsibitliy to do so i dont know the companys terms and culture about this and would feel uncomfortable discussing it,i assume the candidate is at least in his second stage of the interview being open about our limitations is a important topic during this stage of the interview and since youve made it trought the first there should be no wrong answers that could cause a negative result in your interview
0,1,1,I don't know,Yes,Yes,I don't know,Somewhat easy,No,Maybe,Maybe,Maybe,Yes,No,1,Some did,Aware,Some did,Some did,Sometimes,Some of them,Some of them,Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder | attention-deficit-hyperactivity-disorder | personality-disorder | obsessive-compulsive-disorder | post-traumatic-stress-disorder,No,1,Never,Rarely,30,Male,United States of America,United States of America,Sometimes,1,i think theres a stigma around mental health and also an issue of trust i dont want to share with someone who will violate that trust a physical disability is more transparent than a mental one and also deemed more dangerous to the workplace,if it impacted the job i would most likely bring it up towards the end of the interview  more as a i would need some flexibility around this but id want to be a contender for the job before i did
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Aware,None did,Some did,I don't know,Some of them,Some of them,None did,Some of them,No,No,"No, it has not",Maybe,Neutral,"Yes, I observed",No,Yes,Maybe,No,healthy,Yes,1,Sometimes,Often,42,Female,United States of America,United States of America,Always,0,same as with a physical health issue i take on jobs i can do mutually agreeing on parameters they need it done soon i need enough flexibility to deal with mental andor physical issues,it is none of their business as long as i can do the job given parameters we both agree upon i see no need for them to know
0,1,1,Yes,No,I don't know,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,Some did,Not Aware,None did,None did,I don't know,Some of them,Some of them,Some did,Some of them,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,Maybe,I don't know,No,No,healthy,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,United States of America,Never,1,no response,no response
0,0,1,Yes,No,No,Yes,Very easy,Maybe,No,No,Yes,Yes,No,1,"Yes, they all did",Aware,Some did,Some did,I don't know,Some of them,Some of them,Some did,Some of them,No,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",No,No,Maybe,Maybe,unknown,Yes,1,Rarely,Often,32,Male,United States of America,United States of America,Sometimes,1,might mean no offer,i would not bring it to up until i received an offer unless it impacted my interview performance
0,1,1,No,No,No,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,1,"No, none did",Aware,None did,None did,I don't know,"Yes, all of them","Yes, all of them",None did,"Yes, all of them",Maybe,Maybe,"Yes, it has",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,anxiety-disorder,Yes,1,Sometimes,Sometimes,37,Male,United Kingdom,United Kingdom,Always,0,no response,no response
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Aware,None did,None did,I don't know,Some of them,None of them,Some did,Some of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No response,No response,Yes,Yes,No,healthy,Yes,1,Rarely,Sometimes,31,Female,United States of America,United States of America,Always,1,depends on the issue  depression has a stigma,physical is more accepted
0,0,1,I don't know,Yes,No,I don't know,Very easy,Yes,Maybe,Maybe,Maybe,Yes,No,1,"No, none did",Not Aware,None did,None did,No,None of them,Some of them,None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No response,Yes,Yes,Yes,mood-disorder,Yes,1,Never,Often,31,Male,United States of America,United States of America,Always,1,fear of being rejected or discriminated,fear of being discriminated
0,0,0,No,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,None of them,Maybe,No,"Yes, it has",Maybe,Very open,No,No response,I don't know,No,No,healthy,No,0,Not applicable to me,Not applicable to me,26,Male,Colombia,Colombia,Always,1,privacy,i dont know
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Not Aware,None did,Some did,I don't know,I don't know,None of them,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No response,I don't know,No,Maybe,unknown,No,0,Sometimes,Sometimes,30,Male,United States of America,United States of America,Sometimes,1,if its relevant or would affect my duties for example if i was in a situation where i would need my team to be aware of my condition to help me deal with an acute episode then i would make sure that my team is properly equipped to do so,if its relevant or would affect my duties
0,1,1,Yes,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,No,No,1,"Yes, they all did",Aware,Some did,Some did,I don't know,Some of them,Some of them,Some did,None of them,No,No,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,No response,Yes,Yes,Yes,anxiety-disorder | attention-deficit-hyperactivity-disorder | obsessive-compulsive-disorder,Yes,1,Rarely,Often,36,Male,United States of America,United States of America,Sometimes,1,pretty sure this would not work out in my favor,cant imagine this making my desired outcome more likely
0,1,1,Yes,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,1,Some did,Aware,None did,None did,I don't know,Some of them,None of them,None did,Some of them,No,No,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,Yes,Yes,No,healthy,Yes,1,Not applicable to me,Not applicable to me,38,Male,United States of America,United States of America,Always,1,because while discriminating for mental health is not legal one never gets reasons for a job offer not being extended so it can only hinder,not sure id be discriminated against by just not getting an offer itd be very hard to prove
0,0,1,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Maybe,I don't know,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,No,No,Maybe,"No, I don't think they would",Somewhat open,No,No response,No,No,Yes,attention-deficit-hyperactivity-disorder,Yes,1,Never,Often,24,Male,United States of America,United States of America,Sometimes,1,same as above,because as long as i can do my job its really not any of their business
0,1,1,I don't know,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,Maybe,I don't know,No,1,I don't know,Not Aware,Some did,Some did,I don't know,Some of them,Some of them,I don't know,None of them,Maybe,No,Maybe,Maybe,Neutral,No,No response,I don't know,Yes,Yes,mood-disorder,No,0,Never,Rarely,26,Male,United States of America,United States of America,Sometimes,1,same as above  hesitant to bring up anything that doesnt affect my work but might make me seem less employable,im hesitant to bring up anything that might make me seem less employable but has no actual effect on my productivity
0,1,1,Yes,Yes,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",Aware,Some did,None did,I don't know,Some of them,Some of them,Some did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Maybe,unknown,Yes,1,Rarely,Sometimes,37,Male,United States of America,United States of America,Never,1,general sense of stigma,dont currently have one so not sure id have anything to bring up havent had to think about it
0,0,1,I don't know,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,No,Yes,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,None of them,None did,Some of them,Maybe,No,Maybe,Maybe,Neutral,Maybe/Not sure,Yes,Yes,Yes,Yes,anxiety-disorder,Yes,1,Rarely,Sometimes,27,Female,United Kingdom,United Kingdom,Never,0,no need to disclose so early as it may not be an issue dont want to give them a reason not to pick me,no response
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,None did,I don't know,None of them,Some of them,I don't know,Some of them,Maybe,No,Maybe,Maybe,Very open,Maybe/Not sure,No,No,Yes,No,healthy,Yes,1,Rarely,Rarely,32,Male,Switzerland,Switzerland,Always,1,not the right sotuation to talk about a mental issue,its none of her business if it doesnt impact my ability to work
0,0,1,Yes,Yes,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,Not Aware,Some did,None did,I don't know,I don't know,None of them,Some did,None of them,Yes,Maybe,"No, I don't think it would",Maybe,Very open,No,No response,No,Yes,No,healthy,No,1,Never,Sometimes,32,Male,Netherlands,Netherlands,Never,1,no response,because i value honesty very much and know that setting expectations in very beneficial for everybody
0,0,0,Yes,No,Yes,No,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No response,I don't know,Yes,Yes,anxiety-disorder | mood-disorder | stress-response-syndromes | substance-use-disorder,Yes,1,Rarely,Sometimes,30,Male,Netherlands,Netherlands,Never,1,depends on the amount of open view on it,depends on the view of the employer about mental health
0,0,1,No,Yes,No,I don't know,Very difficult,No,No,Yes,Yes,Yes,No,1,Some did,Not Aware,None did,None did,"Yes, always",Some of them,None of them,None did,"Yes, all of them",Yes,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No response,No,Yes,Yes,anxiety-disorder | personality-disorder | obsessive-compulsive-disorder,Yes,1,Sometimes,Sometimes,26,Female,Germany,Germany,Always,1,because i would be scared they would think that it affects my work and im not worth hiring,if it affected my work or was something obvious i would talk about it
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,Not Aware,None did,None did,I don't know,None of them,None of them,Some did,Some of them,Maybe,No,"No, I don't think it would",Maybe,Somewhat open,No,No response,Yes,Yes,Yes,mood-disorder | gender-identity-disorder,Yes,1,Sometimes,Often,27,Female,United Kingdom,United Kingdom,Never,1,its hard to talk about in that high pressure situation,it depends how well i connected with the interviewer
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did",Aware,None did,None did,I don't know,"Yes, all of them",Some of them,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,I don't know,No,Yes,anxiety-disorder,Yes,1,Never,Often,27,Male,Netherlands,Netherlands,Always,1,no response,no response
0,0,1,No,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,None of them,Some did,None of them,Yes,Maybe,Maybe,Maybe,Very open,No,No response,Yes,Yes,Maybe,unknown,No,1,Not applicable to me,Sometimes,29,Male,Colombia,Colombia,Always,1,i wouldnt because for fear of not being hired because of it but at the same time i feel like i should it may affect my availability to perform my job,it may affect my availability to perform my job
0,0,1,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,1,Some did,Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Sometimes,Often,26,Other,Germany,Germany,Never,1,no response,no response
0,1,1,Yes,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,No,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,None of them,None did,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,23,Female,United States of America,United States of America,Never,1,not relevant,not relevant
0,1,1,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,Some did,Aware,Some did,None did,I don't know,Some of them,None of them,Some did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No response,Yes,Yes,No,healthy,Yes,1,Rarely,Sometimes,30,Male,United States of America,United States of America,Sometimes,0,i wouldnt want to work for an employer who couldnt handle the fact that i or any coworkers might have a health issue,i wouldnt want to work for an employer who couldnt handle the fact that i or any coworkers might have a health issue
0,1,0,Yes,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,No,No,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,anxiety-disorder | asperger-syndrome,Yes,0,Not applicable to me,Sometimes,40,Male,United States of America,United States of America,Sometimes,1,no reason to risk making them concerned about it,no reason to risk the job
0,1,1,I don't know,No,I don't know,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,No,1,Some did,Aware,Some did,Some did,I don't know,"Yes, all of them",Some of them,Some did,Some of them,No,No,"Yes, I think it would",Maybe,Not open at all,"Yes, I observed",Yes,I don't know,Maybe,Maybe,unknown,Yes,1,Sometimes,Sometimes,46,Male,United States of America,United States of America,Sometimes,0,same although would have greater concern about employer viewing mental health as worse that a physical health issue as well as overall negative views of mental health issues,you can be assured that it would not be a taken as a negative
0,0,1,I don't know,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,None of them,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,26,Male,United States of America,United States of America,Sometimes,1,unknown ramifications,unknown ramifications
